V002,V024,V025,V106,V190,V201,V212,V221,V228,V312,V360,V384B,V457,V463X,V701,M18,S720,Zone
54,1,2,2,0.75,2,26,25,0,5,2,1,3,0,2,0,0,Northern Zone
48,1,2,2,0.25,1,22,12,0,0,14,1,1,0,2,0.5,0,Northern Zone
77,1,2,2,0.75,2,19,24,0,0,9,0,2,0,2,0.5,0,Northern Zone
98,1,2,2,0.75,2,29,12,0,6,2,0,4,0,2,0.5,0,Northern Zone
26,1,2,2,0.5,2,29,12,0,0,10,1,4,0,2,0.5,0,Northern Zone
28,1,2,3,1,2,22,20,0,5,3,1,4,0,3,0.5,0,Northern Zone
24,1,2,2,0.75,2,23,11,0,1,10,1,3,0,2,0.5,0,Northern Zone
71,1,2,1,0.25,3,21,18,0,1,9,1,3,0,2,0.5,0,Northern Zone
72,1,2,0,0.25,4,21,21,0,0,2,0,3,0,2,0.5,0,Northern Zone
8,1,2,0,0.75,4,24,51,0,9,2,0,1,0,0,0.5,0,Northern Zone
98,1,2,2,0.25,1,22,11,0,0,2,0,3,0,3,0.5,0,Northern Zone
7,1,2,2,0.75,2,25,10,0,5,2,1,3,0,2,0.5,0,Northern Zone
3,1,2,2,1,1,26,19,0,0,4,1,3,0,2,0.5,0,Northern Zone
78,1,2,0,0.25,2,20,9,0,0,2,0,2,0,2,0.5,0,Northern Zone
41,1,2,1,0.25,5,15,13,0,3,2,1,4,0,2,0.5,0,Northern Zone
25,1,2,2,1,2,19,15,0,9,2,1,2,0,2,0.5,0,Northern Zone
38,1,2,1,0,3,23,11,0,3,2,0,3,0,2,0.5,0,Northern Zone
32,1,2,0,0.25,3,23,4,0,1,1,1,4,0,2,0,0,Northern Zone
98,1,2,2,0.25,1,29,22,0,1,4,0,4,0,0,0.5,0,Northern Zone
75,1,2,1,0.5,2,22,20,0,1,2,1,4,0,2,0.5,0,Northern Zone
59,1,2,2,0.5,1,25,12,0,5,4,1,2,0,3,0.5,0,Northern Zone
84,1,2,0,0.5,1,27,12,0,1,10,0,2,0,0,0.5,1,Northern Zone
93,1,2,0,0.75,3,24,12,0,5,2,1,1,0,2,0.5,0,Northern Zone
41,1,2,0,0,3,21,15,0,5,3,0,3,0,0,0.5,0,Northern Zone
90,1,2,2,1,1,25,10,0,1,7,1,2,0,2,0.5,0,Northern Zone
65,1,1,2,0.5,1,30,11,0,5,3,1,4,0,2,0.5,0,Northern Zone
24,1,1,3,1,1,26,10,0,0,2,1,4,0,3,0,0,Northern Zone
83,1,2,0,0.75,3,30,19,0,0,2,0,2,0,2,0.5,0,Northern Zone
16,1,2,2,0.5,1,23,10,0,0,2,1,3,0,2,0.5,0,Northern Zone
44,1,1,1,1,2,19,33,0,5,10,0,2,0,2,0.5,0,Northern Zone
45,1,2,2,0.75,3,26,22,1,5,2,1,2,0,2,0.5,0,Northern Zone
49,1,1,3,0.75,2,25,14,0,5,4,0,3,0,3,0.5,0,Northern Zone
7,1,2,2,0.5,2,31,22,1,5,3,0,2,0,2,0.5,0,Northern Zone
75,1,2,2,1,2,20,19,0,0,9,1,2,0,2,1,0,Northern Zone
83,1,2,0,0,5,24,34,0,0,4,0,3,0,2,0.5,0,Northern Zone
93,1,1,3,0.75,2,25,14,0,0,2,1,2,0,2,0.5,0,Northern Zone
6,1,2,0,0.25,6,19,14,1,6,4,0,2,0,0,0.5,0,Northern Zone
81,1,2,2,0.25,2,29,11,0,9,10,1,2,0,2,0.5,0,Northern Zone
14,1,2,2,0.75,3,31,16,0,6,2,1,2,0,2,0.5,0,Northern Zone
14,1,2,2,0.25,1,24,7,0,3,4,1,2,0,2,0.5,0,Northern Zone
85,1,2,0,0.25,4,21,12,0,6,2,1,2,0,2,0.5,0,Northern Zone
37,1,2,2,1,2,24,13,0,0,2,1,4,0,3,0.5,0,Northern Zone
36,1,2,2,0.25,3,20,10,0,0,1,0,3,0,2,0.5,0,Northern Zone
33,1,2,2,0.25,2,28,11,0,0,6,1,4,0,2,0,0,Northern Zone
47,1,2,2,0.75,1,21,13,0,3,2,1,3,0,0,0,0,Northern Zone
55,1,2,2,0.25,2,18,33,1,0,1,1,2,0,2,0.5,0,Northern Zone
75,1,2,3,0.75,1,26,13,1,0,2,0,2,0,3,0.5,0,Northern Zone
43,1,2,2,0.5,2,25,13,1,5,1,0,4,0,2,0.75,0,Northern Zone
16,1,2,2,0.25,3,25,24,0,9,2,0,3,0,2,0.5,0,Northern Zone
51,1,2,3,0.75,2,26,9,1,0,2,1,3,0,3,0.5,0,Northern Zone
43,2,2,3,0.75,2,30,13,1,5,2,0,4,0,3,0.25,0,Northern Zone
63,2,2,2,0.5,3,26,22,0,0,2,1,2,0,2,0.5,0,Northern Zone
1,2,2,3,1,2,21,26,1,5,2,1,4,0,2,0.5,0,Northern Zone
68,2,2,1,1,3,20,10,0,5,2,1,3,0,1,0.5,0,Northern Zone
37,2,2,2,0.75,2,26,10,0,0,2,1,3,0,2,0,0,Northern Zone
24,2,2,1,0,4,15,16,0,7,9,0,3,0,0,0.5,0,Northern Zone
70,2,2,3,0.5,2,28,6,0,5,2,1,3,0,2,0.5,0,Northern Zone
57,2,2,2,0.75,2,19,11,0,5,2,0,2,0,2,0.5,0,Northern Zone
20,2,2,2,0.25,3,21,13,0,0,2,1,4,0,2,0.75,0,Northern Zone
84,2,2,3,1,1,24,16,0,9,1,0,3,0,2,0.75,0,Northern Zone
51,2,2,1,0.5,2,20,15,0,0,1,0,4,0,3,0.5,0,Northern Zone
65,2,1,3,1,1,32,50,0,5,2,0,4,0,3,0.5,0,Northern Zone
83,2,2,2,0.75,4,18,12,1,5,9,1,4,0,2,0.5,0,Northern Zone
45,2,2,2,0.5,2,20,11,0,0,2,1,2,0,2,0.25,0,Northern Zone
73,2,1,3,1,2,32,14,0,5,2,0,2,0,3,0.5,0,Northern Zone
2,2,2,2,0.75,3,20,10,0,6,2,1,4,0,1,0.5,0,Northern Zone
16,2,2,2,0,3,21,30,0,5,9,1,2,0,2,0.5,0,Northern Zone
4,2,2,2,0,2,22,12,0,9,2,0,4,0,2,0.5,0,Northern Zone
1,2,2,2,0.75,2,21,13,0,8,7,1,3,0,2,0.25,0,Northern Zone
29,2,2,3,0.75,1,24,31,0,9,2,1,4,0,2,0.5,0,Northern Zone
73,2,1,3,1,2,32,14,0,5,2,0,2,0,3,0.5,0,Northern Zone
95,2,2,1,0.25,2,26,14,0,6,1,0,3,0,2,0.5,0,Northern Zone
63,2,2,2,0.5,3,26,22,0,0,2,1,2,0,2,0.5,0,Northern Zone
37,2,2,2,0.75,2,26,10,0,0,2,1,3,0,2,0.5,0,Northern Zone
77,2,2,2,0.5,4,19,9,0,5,16,1,2,0,2,0.5,0,Northern Zone
61,2,1,2,1,1,21,31,0,5,8,1,4,0,2,0.5,0,Northern Zone
27,2,2,1,0.75,3,16,16,0,9,2,1,2,0,2,0.5,0,Northern Zone
80,2,2,2,0.5,2,23,11,0,8,7,1,4,0,3,0.5,0,Northern Zone
53,2,2,2,0.75,1,19,27,0,9,1,1,2,0,2,0.5,0,Northern Zone
46,2,2,2,1,1,22,11,0,9,2,1,3,0,3,0.25,0,Northern Zone
80,2,2,2,0.5,2,22,10,0,6,2,1,3,0,2,0.5,0,Northern Zone
75,2,2,2,0.75,1,28,30,1,9,1,1,4,0,3,0.5,0,Northern Zone
66,2,2,3,1,1,30,996,0,5,2,1,2,0,3,0.5,0,Northern Zone
49,2,2,3,0.75,1,33,35,0,0,9,0,4,0,3,0.25,0,Northern Zone
49,2,2,3,1,2,31,23,0,5,9,1,3,0,3,0.5,0,Northern Zone
3,2,2,2,0.25,1,22,12,0,5,2,1,3,0,2,0.5,0,Northern Zone
31,2,2,3,0.75,2,25,10,0,5,2,1,4,0,2,0.5,0,Northern Zone
7,2,2,1,1,2,26,17,1,2,2,1,4,0,2,0.75,0,Northern Zone
64,2,2,2,1,1,22,21,0,0,2,0,9,0,2,0.75,0,Northern Zone
86,2,2,2,0.75,2,25,11,0,5,2,1,2,0,2,0.75,0,Northern Zone
44,2,2,2,0.75,3,21,13,1,1,9,1,3,0,1,0,0,Northern Zone
84,2,2,2,0.75,2,22,23,1,0,9,0,3,0,2,0.25,0,Northern Zone
22,2,2,1,0.25,2,22,21,0,5,2,1,3,0,2,0.75,0,Northern Zone
10,2,2,2,0.25,2,20,24,0,0,2,1,4,0,2,0.5,0,Northern Zone
68,2,2,2,0.5,3,28,23,0,6,1,1,2,0,2,0.5,1,Northern Zone
21,2,2,1,0.5,2,19,9,0,9,2,1,2,0,2,0.25,0,Northern Zone
41,2,1,3,0.75,1,26,18,0,5,2,1,4,0,3,0.5,0,Northern Zone
47,2,2,2,0.25,2,30,10,0,9,98,1,4,0,2,0.5,0,Northern Zone
63,2,2,3,0.25,2,22,18,0,6,2,1,3,0,2,0.75,0,Northern Zone
23,2,2,3,1,1,22,13,0,0,2,1,4,0,3,0.5,0,Northern Zone
31,3,2,2,0.75,3,17,11,0,0,2,1,4,0,2,0.5,0,Northern Zone
48,3,1,3,1,1,23,11,0,5,3,1,3,0,2,0.5,0,Northern Zone
20,3,2,3,1,1,26,14,0,9,9,1,3,0,2,0.5,0,Northern Zone
41,3,1,3,1,1,24,18,0,5,4,1,3,0,2,0.5,0,Northern Zone
39,3,2,2,0.75,2,18,13,0,0,2,0,3,0,2,0.5,0,Northern Zone
17,3,1,0,1,1,20,28,0,0,3,0,9,0,2,0.5,0,Northern Zone
41,3,2,2,1,2,23,14,0,8,2,1,4,0,2,0.5,0,Northern Zone
81,3,2,2,0.75,2,29,28,0,6,2,1,3,0,2,0.5,0,Northern Zone
7,3,2,2,1,2,32,31,1,5,2,1,3,0,2,0.5,0,Northern Zone
44,3,2,2,0.5,5,21,13,0,5,10,1,2,0,2,0.5,0,Northern Zone
86,3,2,2,1,2,23,34,1,5,2,1,4,0,2,0.25,0,Northern Zone
92,3,1,2,0.5,2,27,22,0,8,3,0,4,0,2,0.5,0,Northern Zone
95,3,2,2,1,2,23,53,0,0,10,1,4,0,2,0.5,0,Northern Zone
56,3,1,0,0.75,3,19,7,0,5,2,0,3,0,2,0,0,Northern Zone
72,3,1,2,1,2,27,10,0,8,2,1,3,0,1,0.5,0,Northern Zone
35,3,1,2,0.5,3,19,13,0,5,2,0,2,0,1,0.5,0,Northern Zone
83,3,1,3,1,1,26,10,0,9,3,0,4,0,3,0.5,0,Northern Zone
78,3,2,2,0.75,2,21,11,0,0,2,1,4,0,2,0.5,0,Northern Zone
63,3,1,2,0.5,4,12,10,0,9,2,0,2,0,0,0.5,0,Northern Zone
73,3,1,0,0,4,16,18,0,0,2,0,4,0,0,0,0,Northern Zone
11,3,2,2,1,1,24,23,0,0,14,0,2,0,2,0.5,0,Northern Zone
10,3,1,3,1,1,20,10,1,0,2,1,2,0,2,0.5,0,Northern Zone
59,3,2,1,0.25,4,19,29,1,5,1,0,2,0,2,0.5,0,Northern Zone
59,3,2,2,1,1,21,10,0,8,3,1,3,0,2,0.5,0,Northern Zone
27,3,2,2,1,1,28,10,0,8,18,1,3,0,3,0.5,0,Northern Zone
73,3,1,3,1,1,26,17,0,5,4,1,2,0,3,0.5,0,Northern Zone
17,3,1,3,1,2,24,13,0,2,1,1,3,0,3,0.5,0,Northern Zone
1,3,1,2,1,1,23,22,0,9,6,0,4,0,2,0.5,0,Northern Zone
1,3,2,2,0.75,3,23,48,0,6,2,0,3,0,0,0.5,0,Northern Zone
24,3,2,0,0.75,3,20,17,0,8,3,0,2,0,0,0.5,0,Northern Zone
56,3,1,0,0.5,2,26,21,0,6,4,0,2,0,0,0.5,0,Northern Zone
53,3,2,2,1,1,27,10,0,5,2,0,3,0,2,0.5,0,Northern Zone
64,3,2,2,1,2,25,10,0,8,3,0,3,0,2,0.5,0,Northern Zone
70,3,2,2,1,2,22,33,0,0,4,1,3,0,2,0.5,0,Northern Zone
39,3,2,1,1,3,22,10,0,0,2,0,2,0,2,0.5,0,Northern Zone
70,3,1,2,1,2,26,9,0,5,3,1,4,0,2,0.5,0,Northern Zone
59,3,2,2,1,2,20,12,0,2,2,1,2,0,2,0.5,0,Northern Zone
3,3,2,2,1,1,29,26,0,0,9,1,4,0,2,0.5,0,Northern Zone
25,3,1,3,1,1,28,10,0,0,2,1,4,0,3,0.5,0,Northern Zone
78,3,2,2,0.75,1,28,59,0,9,2,1,4,0,2,0.5,0,Northern Zone
97,3,1,3,1,3,23,11,0,8,3,1,4,0,2,0.25,0,Northern Zone
29,3,2,2,0.75,2,19,16,0,5,1,1,2,0,2,0.25,0,Northern Zone
23,3,1,0,0.75,4,23,16,0,5,2,0,3,0,2,0.5,0,Northern Zone
99,3,1,2,1,2,27,16,1,0,6,0,4,0,2,0.5,0,Northern Zone
83,3,2,2,1,2,27,9,0,2,7,1,3,0,2,0.5,0,Northern Zone
24,3,2,2,1,1,22,18,0,8,2,0,2,0,2,0.25,0,Northern Zone
87,3,2,3,1,2,25,8,0,5,10,1,2,0,2,0.75,0,Northern Zone
12,3,2,3,0.5,1,28,10,0,5,3,1,4,0,2,0.5,0,Northern Zone
73,3,1,0,0,4,16,18,0,0,2,0,4,0,0,0.25,0,Northern Zone
59,3,2,2,1,2,20,12,0,2,2,1,2,0,2,0.5,0,Northern Zone
65,5,2,2,1,2,19,15,1,0,9,1,4,0,2,0.5,0,Central Zone
21,5,1,2,1,2,20,9,0,0,2,1,4,0,2,0.75,0,Central Zone
50,5,2,2,0.75,2,23,8,0,9,9,1,2,0,3,0.5,0,Central Zone
73,5,2,2,0.5,3,20,19,0,0,2,1,4,0,2,0.5,0,Central Zone
75,5,2,0,0.25,2,21,3,0,8,2,0,4,0,0,0.5,0,Central Zone
83,5,2,2,1,2,21,21,0,5,2,1,4,0,2,0.5,0,Central Zone
58,5,2,2,0.25,1,19,20,1,0,2,0,4,0,3,1,0,Central Zone
3,5,2,2,0.5,1,20,34,0,5,7,1,4,0,2,0.5,0,Central Zone
69,5,2,2,0.25,2,22,51,0,0,9,1,3,0,3,0.5,0,Central Zone
98,5,2,2,0.25,4,21,28,0,13,2,0,4,0,2,0.5,0,Central Zone
84,5,1,3,1,1,24,56,0,5,2,1,4,0,3,0.5,0,Central Zone
11,5,2,0,0.5,3,27,24,0,0,2,0,2,0,2,0.5,0,Central Zone
69,5,2,2,0.75,2,19,16,0,5,3,1,3,0,2,0.5,0,Central Zone
5,5,2,3,0.25,2,25,28,0,0,2,0,2,0,2,0.75,0,Central Zone
45,5,2,1,0.25,5,21,19,1,1,4,1,4,0,0,0.5,0,Central Zone
88,5,1,3,1,2,25,22,0,5,2,1,3,0,3,0.5,0,Central Zone
76,5,2,2,0.25,1,23,14,1,9,9,1,4,0,2,0.5,0,Central Zone
55,5,1,2,0.25,3,21,13,0,0,11,0,4,0,1,0.5,0,Central Zone
82,5,2,2,0.75,1,23,11,0,5,9,1,9,0,2,0.5,0,Central Zone
61,5,2,3,1,2,24,29,0,5,2,1,4,0,3,0.5,0,Central Zone
93,5,2,3,1,1,22,50,0,5,2,1,4,0,3,0.5,0,Central Zone
24,5,2,3,1,1,29,77,0,0,2,1,4,0,2,0.5,0,Central Zone
83,5,1,2,1,2,23,15,0,8,2,1,4,0,2,0.75,0,Central Zone
73,5,2,3,1,1,23,39,0,5,2,1,4,0,3,0.75,0,Central Zone
38,5,2,2,0.5,1,22,28,0,5,3,1,4,0,3,0.5,0,Central Zone
44,5,1,0,0.75,3,19,14,0,9,2,1,2,0,0,0.5,0,Central Zone
7,5,2,0,0,4,18,34,0,5,9,0,4,0,2,0.5,0,Central Zone
36,5,2,2,0.25,1,23,14,0,0,9,0,2,0,2,0.25,0,Central Zone
76,5,2,2,0.5,2,19,13,0,5,2,1,9,0,2,0.5,0,Central Zone
29,5,2,0,0,7,19,55,1,0,1,0,4,0,0,0.5,0,Central Zone
37,5,1,2,0.25,3,16,11,0,5,2,0,9,0,1,0.75,0,Central Zone
34,5,2,2,0,1,23,996,0,0,1,0,4,0,2,0.5,0,Central Zone
23,5,1,0,1,5,19,15,0,5,2,1,3,0,2,0.5,0,Central Zone
90,5,2,2,0,3,28,58,0,8,2,1,4,0,1,1,0,Central Zone
98,5,2,2,0.25,1,23,24,0,0,2,0,2,0,2,0.5,0,Central Zone
87,5,2,2,0.5,1,22,14,1,9,2,1,4,0,2,0.5,0,Central Zone
75,5,2,2,0.5,4,19,22,0,1,2,0,2,0,2,0.5,0,Central Zone
71,5,2,2,0.5,3,21,14,0,8,2,1,4,0,2,0.5,0,Central Zone
77,5,2,2,0.5,4,21,11,0,9,1,1,4,0,3,0.25,0,Central Zone
61,5,2,2,0.5,2,20,8,0,0,2,1,3,0,2,0.5,0,Central Zone
93,5,2,3,0.5,1,25,14,0,0,9,1,2,0,2,0.5,0,Central Zone
91,5,1,1,1,6,17,23,1,0,19,0,2,0,1,0.5,0,Central Zone
54,5,1,3,1,2,24,41,0,13,2,0,4,0,3,0.5,0,Central Zone
61,5,1,3,1,3,22,18,0,2,2,1,3,0,2,0.5,0,Central Zone
7,5,2,2,0,3,20,14,0,0,1,0,4,0,2,0.5,0,Central Zone
69,5,2,3,0.5,2,21,14,0,5,9,1,4,0,2,0.5,0,Central Zone
61,5,2,2,0.75,3,23,58,0,5,2,1,3,0,2,0.5,0,Central Zone
5,5,2,2,0.5,2,19,10,0,6,7,1,2,0,2,0.25,0,Central Zone
23,5,2,2,0.75,3,19,18,0,6,7,1,4,0,3,0.5,0,Central Zone
82,5,1,1,0.5,2,22,16,0,0,2,1,9,0,0,0.5,0,Central Zone
29,6,1,0,0.25,3,20,12,0,6,2,1,2,0,1,0.5,0,Northern Zone
14,6,2,2,1,1,22,29,1,0,2,0,4,0,2,0.5,0,Northern Zone
44,6,2,2,0.5,3,19,20,0,5,2,0,2,0,3,1,0,Northern Zone
41,6,2,2,1,2,20,19,0,5,2,1,4,0,2,0.5,0,Northern Zone
53,6,2,3,0.75,1,21,86,0,0,2,1,9,0,2,0.5,0,Northern Zone
3,6,2,2,0.75,1,21,15,0,13,2,1,4,0,2,0.5,0,Northern Zone
32,6,2,2,1,2,22,20,0,0,4,1,9,0,2,0.5,0,Northern Zone
77,6,1,2,1,3,20,24,1,1,2,1,3,0,1,0.5,0,Northern Zone
44,6,1,3,1,2,25,9,0,2,2,1,9,0,3,0.5,0,Northern Zone
26,6,2,2,1,3,20,30,0,5,4,1,2,0,1,0.25,0,Northern Zone
21,6,2,1,0.25,3,20,16,0,6,1,0,4,0,2,0.5,0,Northern Zone
80,6,2,0,0.5,2,20,15,0,13,3,0,2,0,1,0.5,0,Northern Zone
52,6,2,2,0.5,4,23,17,0,5,2,1,4,0,2,0.5,0,Northern Zone
1,6,2,0,0.5,4,23,13,0,8,18,1,1,0,2,0.5,0,Northern Zone
96,6,2,2,0.75,5,22,13,0,5,2,1,2,0,3,0.5,0,Northern Zone
44,6,1,3,1,2,22,10,0,5,7,1,4,0,2,0.25,0,Northern Zone
95,6,1,2,1,1,20,14,1,2,7,1,2,0,2,0,0,Northern Zone
27,6,2,0,0.5,3,23,43,1,6,3,0,2,0,0,0,0,Northern Zone
83,6,2,2,0.5,5,20,42,0,0,2,0,3,0,2,0.5,0,Northern Zone
76,6,2,0,0.25,4,19,38,0,9,9,0,2,0,1,0.75,0,Northern Zone
37,6,2,0,0.75,2,21,15,1,8,17,0,2,0,0,0,0,Northern Zone
99,6,2,2,1,2,23,10,0,1,16,1,4,0,2,0.5,0,Northern Zone
53,6,2,2,1,2,21,29,1,0,7,1,3,0,2,0.5,0,Northern Zone
35,6,2,2,1,3,24,18,0,13,2,1,2,0,2,0.5,0,Northern Zone
8,6,2,2,0.75,1,22,9,1,0,2,1,2,0,1,0.5,0,Northern Zone
23,6,1,3,1,2,21,12,1,0,1,1,2,0,3,0.5,0,Northern Zone
15,6,2,0,0.5,8,20,23,0,5,16,0,4,0,0,0.5,0,Northern Zone
53,6,2,3,0.25,1,21,25,0,5,19,1,4,0,3,0.75,0,Northern Zone
32,6,2,0,0,5,19,18,0,9,2,0,3,0,1,0.5,0,Northern Zone
96,6,2,2,0.75,5,22,13,0,5,2,1,2,0,3,0.5,0,Northern Zone
48,6,2,2,0.25,6,23,10,0,8,2,1,4,0,2,0.25,0,Northern Zone
67,6,2,3,0.75,2,23,22,0,8,2,1,2,0,2,0.75,0,Northern Zone
75,6,2,3,1,2,23,19,0,9,2,0,2,0,3,0.5,0,Northern Zone
84,6,2,2,1,2,21,13,0,2,7,1,9,0,3,0.5,0,Northern Zone
93,6,1,2,0.75,1,19,13,0,0,12,0,2,0,1,0.5,0,Northern Zone
81,6,2,2,1,3,21,18,0,8,2,1,4,0,2,0.5,0,Northern Zone
59,6,2,2,0.5,1,25,25,1,8,11,0,3,0,2,0.5,0,Northern Zone
6,6,2,3,1,2,21,10,0,8,3,0,2,0,2,0.5,0,Northern Zone
35,6,2,2,1,3,24,18,0,13,2,1,2,0,2,0.5,0,Northern Zone
22,6,2,0,0.75,4,19,29,0,0,2,0,4,0,1,0.5,0,Northern Zone
56,6,2,1,0.5,2,21,57,1,9,4,0,2,0,2,0.5,0,Northern Zone
19,6,2,3,1,1,28,65,1,5,2,1,4,0,2,0.25,0,Northern Zone
29,6,2,2,0.75,2,25,18,0,1,1,1,2,0,2,0.5,0,Northern Zone
40,6,1,0,0.75,2,22,8,0,5,4,1,3,0,2,0.5,0,Northern Zone
93,6,1,3,1,2,21,24,0,0,19,1,3,0,2,0.5,0,Northern Zone
53,6,2,2,1,2,21,29,1,0,7,1,3,0,2,0.5,0,Northern Zone
56,6,2,3,1,3,20,27,0,0,9,1,4,0,2,0.5,0,Northern Zone
44,6,2,2,0.5,3,19,20,0,5,2,0,2,0,3,0.5,0,Northern Zone
3,6,2,2,1,3,24,11,0,0,2,1,2,0,2,0.5,0,Northern Zone
11,6,2,2,1,2,25,26,1,0,2,0,2,0,2,0.5,0,Northern Zone
38,7,1,2,1,1,21,19,1,5,1,1,3,0,3,0.5,0,Northern Zone
23,7,1,2,1,1,21,55,1,0,2,0,2,0,2,0.5,0,Northern Zone
99,7,1,0,0.5,5,15,27,0,8,10,0,4,0,2,1,0,Northern Zone
3,7,1,2,1,4,19,23,0,5,16,1,4,0,2,0.5,0,Northern Zone
17,7,1,3,1,3,18,15,0,9,2,1,4,0,3,0.5,0,Northern Zone
32,7,1,2,1,2,33,11,1,2,2,1,4,0,2,0.5,0,Northern Zone
32,7,1,0,0.25,4,19,17,0,0,2,0,2,0,0,0.5,0,Northern Zone
81,7,1,2,0.5,3,20,30,0,5,2,0,2,0,3,0.5,0,Northern Zone
66,7,1,3,1,3,19,12,0,5,7,1,2,0,3,1,0,Northern Zone
96,7,1,3,1,1,27,13,0,5,7,1,2,0,3,0.5,0,Northern Zone
3,7,1,2,1,2,19,24,0,5,1,1,3,0,2,0.5,0,Northern Zone
92,7,1,0,0.75,2,18,23,0,2,2,1,3,0,3,0.75,0,Northern Zone
44,7,1,0,0.75,3,19,11,1,5,3,1,3,0,2,0.5,0,Northern Zone
11,7,1,3,1,3,25,9,0,13,2,1,4,0,3,0,0,Northern Zone
48,7,1,0,0.75,4,19,36,1,6,3,0,4,0,0,0.5,0,Northern Zone
53,7,1,3,0.75,2,27,15,0,9,2,1,4,0,3,0.5,0,Northern Zone
75,7,1,2,1,3,18,18,1,0,2,1,4,0,2,0.5,0,Northern Zone
56,7,1,2,0.25,3,22,9,0,5,7,1,3,0,1,0.5,0,Northern Zone
32,7,1,3,0.75,1,29,16,0,0,1,1,3,0,2,0.5,0,Northern Zone
90,7,1,2,1,2,22,22,0,9,3,1,4,0,3,0.5,0,Northern Zone
1,7,1,3,1,2,25,21,0,5,2,1,2,0,2,0.5,0,Northern Zone
94,7,1,2,1,2,21,14,0,5,2,1,9,0,2,0.5,0,Northern Zone
46,7,1,2,0.75,2,20,33,0,8,18,0,9,0,1,0.5,0,Northern Zone
81,7,1,3,1,2,22,30,0,0,3,1,4,0,3,0.5,0,Northern Zone
37,7,1,0,1,2,20,10,0,5,7,1,2,0,0,0.5,0,Northern Zone
71,7,1,1,0.75,2,20,14,0,5,3,1,1,0,2,0.5,0,Northern Zone
37,7,1,0,1,2,20,10,0,5,7,1,2,0,0,0.5,0,Northern Zone
10,7,1,2,1,2,20,17,1,9,7,1,3,0,1,0.5,0,Northern Zone
